species	hmm_hits	tblastn_hits	status
Rosa_agrestis	53	1440	PRESENT
Rosa_canina	14	328	PRESENT
Rosa_rubiginosa	53	1454	PRESENT
Rosa_rugosa	14	340	PRESENT
Rosa_spinosissima	26	697	PRESENT
Rosulabryum_capillare	9	325	PRESENT
Rubus_caesius	25	720	PRESENT
Rubus_idaeus	14	378	PRESENT
Rubus_saxatilis	27	764	PRESENT
Rumex_acetosa	9	242	PRESENT
Rumex_acetosella	91	2671	PRESENT
Rumex_conglomeratus	9	269	PRESENT
Rumex_obtusifolius	18	607	PRESENT
Sagina_maritima	23	775	PRESENT
Salicornia_ramosissima	11	310	PRESENT
Salix_alba	27	707	PRESENT
Salix_arbuscula	14	331	PRESENT
Salix_cinerea	39	1001	PRESENT
Salix_euxina	27	782	PRESENT
Salix_herbacea	13	389	PRESENT
Salix_lanata	14	384	PRESENT
Salix_myrsinifolia	17	463	PRESENT
Salix_pentandra	27	752	PRESENT
Salix_phylicifolia	14	387	PRESENT
Salix_purpurea	14	387	PRESENT
Salix_repens	14	328	PRESENT
Salix_reticulata	13	383	PRESENT
Salix_triandra	14	357	PRESENT
Salix_viminalis	14	345	PRESENT
Sambucus_nigra	56	1418	PRESENT
Samolus_valerandi	12	339	PRESENT
Sarmentypnum_sarmentosum	10	349	PRESENT
Saxifraga_aizoides	15	359	PRESENT
Saxifraga_cespitosa	52	1554	PRESENT
Scapania_compacta	13	250	PRESENT
Scapania_gracilis	11	189	PRESENT
Scapania_ornithopodioides	14	244	PRESENT
Scapania_undulata	11	274	PRESENT
Scheuchzeria_palustris	19	282	PRESENT
Schistidium_strictum	10	382	PRESENT
Schoenoplectus_lacustris	11	314	PRESENT
Schoenoplectus_tabernaemontani	11	320	PRESENT
Schoenoplectus_triqueter	11	318	PRESENT
Schoenus_nigricans	13	328	PRESENT
Scirpus_sylvaticus	21	802	PRESENT
Sciuro_hypnum_glaciale	11	352	PRESENT
Scleranthus_annuus	44	1501	PRESENT
Scrophularia_umbrosa	31	725	PRESENT
