# target name                  accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#          ------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
Scaffold_538_HRSCAF_2709_arrow -          all_tr_seqs          -               20      79  2780735  2780676  2780755  2780658 59398771    -       0.026   21.1   3.0  -
Scaffold_6_HRSCAF_40_arrow     -          all_tr_seqs          -               20      79  9582488  9582429  9582508  9582411 79235845    -       0.026   21.1   3.0  -
Scaffold_6_HRSCAF_40_arrow     -          all_tr_seqs          -               20      79  9588423  9588364  9588443  9588346 79235845    -       0.026   21.1   3.0  -
Scaffold_538_HRSCAF_2709_arrow -          all_tr_seqs          -               20      80   976044   976104   976025   976124 59398771    +       0.026   21.1   1.4  -
Scaffold_538_HRSCAF_2709_arrow -          all_tr_seqs          -               20      84   988292   988358   988275   988372 59398771    +       0.027   21.1   1.4  -
Scaffold_83_HRSCAF_700_arrow   -          all_tr_seqs          -               20      79 35890208 35890149 35890228 35890129 66732361    -       0.028   21.1   3.1  -
Scaffold_470_HRSCAF_2051_arrow -          all_tr_seqs          -               18      79    25856    25795    25876    25775   108974    -       0.028   21.0   4.0  -
Scaffold_322_HRSCAF_1606_arrow -          all_tr_seqs          -               18      79     4498     4559     4478     4578    37796    +       0.029   21.0   4.0  -
Scaffold_322_HRSCAF_1606_arrow -          all_tr_seqs          -               18      79    33299    33238    33319    33219    37796    -       0.029   21.0   4.0  -
Scaffold_470_HRSCAF_2051_arrow -          all_tr_seqs          -               18      79     6372     6433     6352     6452   108974    +       0.029   21.0   4.0  -
Scaffold_6_HRSCAF_40_arrow     -          all_tr_seqs          -               18      79 42246015 42246076 42245995 42246095 79235845    +       0.029   21.0   4.0  -
Scaffold_620_HRSCAF_3607_arrow -          all_tr_seqs          -               21      90 34966514 34966446 34966534 34966426 67730917    -       0.029   21.0   5.2  -
Scaffold_620_HRSCAF_3607_arrow -          all_tr_seqs          -               21      90 35077813 35077745 35077833 35077725 67730917    -       0.029   21.0   5.2  -
Scaffold_622_HRSCAF_3609_arrow -          all_tr_seqs          -               20      78 16596728 16596786 16596707 16596804 52377468    +       0.029   21.0   5.2  -
Scaffold_619_HRSCAF_3606_arrow -          all_tr_seqs          -               21     109 43086556 43086465 43086576 43086447 52901414    -       0.029   21.0   5.6  -
Scaffold_612_HRSCAF_3546_arrow -          all_tr_seqs          -               20      79 20496913 20496854 20496933 20496836 67732284    -       0.029   21.0   3.1  -
Scaffold_6_HRSCAF_40_arrow     -          all_tr_seqs          -               20      79 27340551 27340492 27340571 27340474 79235845    -       0.029   21.0   3.1  -
Scaffold_83_HRSCAF_700_arrow   -          all_tr_seqs          -               20      94  1375501  1375431  1375521  1375410 66732361    -        0.03   21.0   3.7  -
Scaffold_622_HRSCAF_3609_arrow -          all_tr_seqs          -               17      76 46951885 46951944 46951867 46951964 52377468    +       0.032   20.8   5.7  -
Scaffold_621_HRSCAF_3608_arrow -          all_tr_seqs          -               19      79 39097514 39097454 39097534 39097435 57862457    -       0.032   20.8   3.3  -
Scaffold_538_HRSCAF_2709_arrow -          all_tr_seqs          -               19      81   985575   985637   985557   985655 59398771    +       0.033   20.8   2.1  -
Scaffold_6_HRSCAF_40_arrow     -          all_tr_seqs          -               20      79 53972158 53972099 53972178 53972080 79235845    -       0.033   20.8   4.9  -
Scaffold_538_HRSCAF_2709_arrow -          all_tr_seqs          -               20      79 17875595 17875536 17875615 17875516 59398771    -       0.033   20.8   5.1  -
Scaffold_620_HRSCAF_3607_arrow -          all_tr_seqs          -               18      79 51231862 51231801 51231882 51231772 67730917    -       0.034   20.8   3.0  -
