# target name         accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
# ------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
HAP2_SUPER_5          -          all_tr_seqs          -               18     107  33557195  33557109  33557215  33557087  92043866    -        0.39   19.2   2.0  -
HAP3_SUPER_1          -          all_tr_seqs          -               10      71 112530286 112530347 112530277 112530368 117562012    +         0.4   19.2   0.3  -
HAP4_SUPER_9          -          all_tr_seqs          -               24      89  19041561  19041625  19041541  19041645  82252969    +         0.4   19.2   3.3  -
HAP3_SUPER_6          -          all_tr_seqs          -               18      78  49504410  49504350  49504426  49504330  83683939    -         0.4   19.1   4.4  -
HAP3_SUPER_6          -          all_tr_seqs          -                8      70  83026031  83025969  83026038  83025947  83683939    -        0.41   19.1   1.1  -
HAP3_SUPER_6          -          all_tr_seqs          -               11      71  80403413  80403353  80403423  80403332  83683939    -        0.43   19.1   0.4  -
HAP4_SUPER_6          -          all_tr_seqs          -               11      71  81794507  81794447  81794517  81794426  85432842    -        0.43   19.1   0.4  -
HAP3_SUPER_2          -          all_tr_seqs          -               12      89  74274565  74274488  74274576  74274471  99305196    -        0.43   19.0   1.7  -
HAP2_SUPER_7          -          all_tr_seqs          -               15      78  75254382  75254445  75254368  75254460  80646205    +        0.44   19.0   1.8  -
HAP3_SUPER_7          -          all_tr_seqs          -               15      78  76342465  76342528  76342451  76342543  81930397    +        0.44   19.0   1.8  -
HAP4_SUPER_7          -          all_tr_seqs          -               15      78  73827809  73827872  73827795  73827887  79371950    +        0.44   19.0   1.8  -
HAP4_SUPER_4          -          all_tr_seqs          -               10      70  13663960  13663900  13663969  13663882  76446087    -        0.45   19.0   0.5  -
HAP2_SUPER_2          -          all_tr_seqs          -               19      79   8739470   8739410   8739489   8739390  91274010    -        0.45   19.0   1.6  -
HAP3_SUPER_2          -          all_tr_seqs          -               19      79   8932379   8932319   8932398   8932299  99305196    -        0.45   19.0   1.6  -
HAP3_SUPER_1          -          all_tr_seqs          -               11      72  54463921  54463982  54463911  54464010 117562012    +        0.47   18.9   0.8  -
HAP3_SUPER_9          -          all_tr_seqs          -               24      89  18544961  18544897  18544981  18544877  87916990    -        0.47   18.9   2.4  -
HAP4_SUPER_2          -          all_tr_seqs          -               11      78  65798153  65798086  65798163  65798055  91246324    -        0.49   18.9   1.8  -
HAP3_SUPER_8          -          all_tr_seqs          -               13      79  19645598  19645532  19645613  19645513  76336059    -        0.51   18.8   1.1  -
HAP2_SUPER_2          -          all_tr_seqs          -               12      71  88144509  88144568  88144498  88144589  91274010    +        0.51   18.8   0.4  -
HAP4_SUPER_9          -          all_tr_seqs          -               19      98  21466933  21466856  21466953  21466836  82252969    -        0.51   18.8   3.4  -
HAP3_SUPER_5          -          all_tr_seqs          -               18     107  10594948  10594862  10594967  10594840  90917284    -        0.52   18.8   1.3  -
HAP3_SUPER_5          -          all_tr_seqs          -               18     107  10600617  10600531  10600636  10600509  90917284    -        0.52   18.8   1.3  -
HAP4_SUPER_9          -          all_tr_seqs          -               18     107  18723324  18723238  18723343  18723216  82252969    -        0.52   18.8   1.3  -
HAP3_SUPER_3          -          all_tr_seqs          -               93     155  48044503  48044435  48044525  48044380  82926109    -        0.54   18.7   1.4  -
HAP4_SUPER_7          -          all_tr_seqs          -               10      72  71916451  71916389  71916460  71916369  79371950    -        0.56   18.7   1.3  -
HAP2_SUPER_8          -          all_tr_seqs          -               12      77  28851666  28851601  28851677  28851581  77766227    -        0.56   18.7   1.4  -
HAP4_SUPER_2          -          all_tr_seqs          -               20      78  15119998  15119940  15120017  15119923  91246324    -        0.59   18.6   3.4  -
HAP2_SUPER_8          -          all_tr_seqs          -               10      71  77205891  77205830  77205900  77205809  77766227    -        0.59   18.6   0.5  -
HAP3_SUPER_8          -          all_tr_seqs          -               10      71  75790061  75790000  75790070  75789979  76336059    -        0.59   18.6   0.5  -
HAP4_SUPER_8          -          all_tr_seqs          -               10      71  86310569  86310508  86310578  86310487  86956920    -        0.59   18.6   0.5  -
HAP4_SUPER_6          -          all_tr_seqs          -               93     154  40392031  40391964  40392053  40391906  85432842    -        0.59   18.6   1.4  -
HAP2_SUPER_7          -          all_tr_seqs          -               96     152  48173896  48173844  48173921  48173828  80646205    -        0.59   18.6   3.4  -
HAP4_SUPER_1          -          all_tr_seqs          -               11      71  12563704  12563764  12563694  12563785 124928096    +        0.61   18.5   0.8  -
HAP2_SUPER_8          -          all_tr_seqs          -               11      71   3729228   3729168   3729238   3729147  77766227    -        0.62   18.5   1.1  -
HAP3_SUPER_6          -          all_tr_seqs          -               15      72  51184501  51184444  51184515  51184424  83683939    -        0.63   18.5   1.7  -
HAP2_SUPER_8          -          all_tr_seqs          -               10      71  56875146  56875085  56875155  56875064  77766227    -        0.63   18.5   0.3  -
HAP3_SUPER_3          -          all_tr_seqs          -               11      71  34945646  34945586  34945656  34945565  82926109    -        0.64   18.5   0.5  -
HAP4_SUPER_3          -          all_tr_seqs          -               11      71  34880097  34880037  34880107  34880016  86209777    -        0.64   18.5   0.5  -
HAP2_SUPER_2          -          all_tr_seqs          -               20      76  15005904  15005848  15005924  15005829  91274010    -        0.64   18.5   4.3  -
HAP3_SUPER_9          -          all_tr_seqs          -               16      98  43194351  43194269  43194367  43194268  87916990    -        0.65   18.5   1.0  -
HAP2_SCAFFOLD_33      -          all_tr_seqs          -               81     146    479647    479565    479676    479544   1253356    -        0.67   18.4   0.3  -
HAP4_SUPER_9          -          all_tr_seqs          -               10      70  27298503  27298563  27298494  27298584  82252969    +        0.68   18.4   0.6  -
HAP3_SUPER_8          -          all_tr_seqs          -               11      71   3341567   3341507   3341577   3341486  76336059    -        0.69   18.4   1.3  -
HAP3_SUPER_1          -          all_tr_seqs          -               20      78  58929398  58929456  58929378  58929480 117562012    +         0.7   18.4   3.2  -
HAP3_SUPER_7          -          all_tr_seqs          -               18      79  78416771  78416710  78416788  78416695  81930397    -         0.7   18.3   0.7  -
HAP2_SUPER_7          -          all_tr_seqs          -               20      89  48185100  48185032  48185121  48185007  80646205    -        0.72   18.3   2.3  -
HAP3_SUPER_8          -          all_tr_seqs          -               10      71  48074807  48074868  48074798  48074889  76336059    +        0.73   18.3   0.7  -
HAP2_SCAFFOLD_18      -          all_tr_seqs          -               19      79   3122812   3122752   3122832   3122735   3824520    -        0.74   18.3   3.3  -
HAP3_SUPER_2          -          all_tr_seqs          -               12      76  74183949  74183885  74183960  74183865  99305196    -        0.74   18.3   2.0  -
HAP4_SUPER_3          -          all_tr_seqs          -               18      67  32703567  32703518  32703587  32703500  86209777    -        0.75   18.3   0.3  -
HAP2_SUPER_7          -          all_tr_seqs          -               18      79  77322699  77322638  77322716  77322624  80646205    -        0.75   18.2   0.9  -
HAP4_SUPER_9          -          all_tr_seqs          -               18     107  18717878  18717792  18717898  18717770  82252969    -        0.77   18.2   0.9  -
